"addon"
{
	//"DOTA_InventoryMenu_Sell"    "商店出售"
	"DOTA_InventoryMenu_LockCombine"    "锁定"
	"td_strategy_1_title1"  "阵容构成"
	"td_strategy_1_text1"  "更新中..."
	"td_strategy_1_title2"  "运营方法"
	"td_strategy_1_text2"  ""
	"td_strategy_1_title3"  "卡组清单"
	"td_strategy_1_text3"  ""
	"td_strategy_1_title4"  "站位图"
	"td_strategy_1_text4"  ""
	
	"td_strategy_2_left_title"  "【视频】"
	"td_strategy_2_main_title"  "新手必看，最全整理合集"
	"td_strategy_2_sub_title"  "P3：卡组搭配（简单来说就是多看，多想，每个卡都有什么作用）"
	"td_strategy_2_url"  "http://static.yueyutech.com/bilibili/index.html?u=Ly9wbGF5ZXIuYmlsaWJpbGkuY29tL3BsYXllci5odG1sP2FpZD00ODQ5ODk0NyZjaWQ9Mzc5NzU3NzgmcGFnZT0z"
	"td_strategy_2_image"  ""
	"td_strategy_2_title1"  "阵容构成"
	"td_strategy_2_text1"  "更新中..."
	"td_strategy_2_title2"  "运营方法"
	"td_strategy_2_text2"  ""
	"td_strategy_2_title3"  "卡组清单"
	"td_strategy_2_text3"  ""
	"td_strategy_2_title4"  "站位图"
	"td_strategy_2_text4"  ""
	
	"td_strategy_3_left_title"  "【视频】"
	"td_strategy_3_main_title"  "新手必看，最全整理合集"
	"td_strategy_3_sub_title"  "P4：娱乐模式运营-摆位（希望每个人都有自己的思路，不要一味模仿）"
	"td_strategy_3_url"  "http://static.yueyutech.com/bilibili/index.html?u=Ly9wbGF5ZXIuYmlsaWJpbGkuY29tL3BsYXllci5odG1sP2FpZD00ODQ5ODk0NyZjaWQ9Mzc5NzU3NzgmcGFnZT00"
	"td_strategy_3_image"  ""
	"td_strategy_3_title1"  "阵容构成"
	"td_strategy_3_text1"  "更新中..."
	"td_strategy_3_title2"  "运营方法"
	"td_strategy_3_text2"  ""
	"td_strategy_3_title3"  "卡组清单"
	"td_strategy_3_text3"  ""
	"td_strategy_3_title4"  "站位图"
	"td_strategy_3_text4"  ""
	
	"td_strategy_4_left_title"  "【机制】"
	"td_strategy_4_main_title"  "减速及伤害机制详解"
	"td_strategy_4_sub_title"  "本地图专用的机制，非常复杂"
	"td_strategy_4_url"  ""
	"td_strategy_4_image"  ""
	"td_strategy_4_title1"  "减速机制"
	"td_strategy_4_text1"  "和Dota2本身不同，本图绝大部分减速不叠加，速度下限为100。<br/>装备4人形提供的减速效果能叠加。<br/>以下减速效果不叠加，以先生效的为准。<br/>琪露诺：霜符「冰袭方阵」<br/>梅露兰：管灵「日野幻想」<br/>古明地觉：回忆「恐怖的回忆」<br/>八云蓝：式弹「最后的佛徒」<br/>东风谷早苗：大奇迹「八坂之神风」<br/>村纱水蜜：港符「幽灵船之泊」<br/>宫古芳香：毒爪「不死杀人鬼」<br/>梅蒂欣：毒符「猛毒气息」<br/>斯塔：流星「小型彗星」<br/>萃香：鬼符「大江山悉皆杀」<br/>键山雏：创符「痛苦之流」<br/>神绮大魔王：震荡波"
	"td_strategy_4_title2"  "伤害机制"
	"td_strategy_4_text2"  "攻击力、能量等面板数值决定基础伤害，各技能描述伤害为技能基础伤害，然后按以下两步对基础伤害处理。"
	"td_strategy_4_title3"  "第一步，dota2机制伤害计算"
	"td_strategy_4_text3"  "dota2自带的增益有效（辉夜二技能永返）。<br/>普攻取攻击力和护甲计算。<br/>技能基础伤害经以下处理算出最终技能伤害。<br/>然后由dota2伤害机制处理得出税后伤害。<br/>1.如果攻击者是纯狐或带纯化buff，将伤害类型改为纯粹，跳过后续，处理结束。<br/>2.如果伤害类型为魔法，则将伤害方式改为无视魔抗，即第一步最终伤害按魔抗为0处理。<br/>3.加入相机4件套效果伤害。<br/>4.加入神子黄金剑伤害。<br/>5.如果被大妖精拐，加入大妖精增伤，伤害改为魔法，伤害方式无视魔抗，跳过6、7。<br/>6.如果被狗花拐，加入狗花增伤，伤害改为物理，如果目标为文文且在外圈，则将攻击方式改为无视护甲，其它情况伤害方式不变（计算护甲），跳过7。<br/>7.如果被桑尼拐，加入桑尼增伤，伤害改为纯粹伤害。"
	"td_strategy_4_title4"  "第二步，对第一步的税后伤害进行计算"
	"td_strategy_4_text4"  "使用的是地图自定义的各种伤害机制。此时已不区分技能和普攻伤害。<br/>按以下步骤计算结果即为最终伤害。<br/>1.如果为幽幽子，计算二技能秒杀触发，如果触发计算触发伤害并跳过后续，处理结束。<br/>2.如果为纯狐或纯狐拐，计算觉的伤害上限，跳过后续，处理结束。<br/>3.如果为物理伤害，将物理伤害转换为0甲时的伤害。<br/>4.如果为boss转转，若伤害超出4星能则将伤害*0.5<br/>5.如果为boss小桶，则减2000伤害，若结果小于等于0则伤害为0并结束处理。<br/>6.计算全类型增伤，如神枪4件套、辉夜神宝（友方）。<br/>7.计算无尽固有减伤62.5%。<br/>8.计算全类型易伤，如辉夜神宝（敌方）。<br/>9.计算装备的4件套70%和30%血量增伤效果，血量满足条件将伤害*1.5<br/>10.计算暴击装备，如果为boss妹红则跳过此步。<br/>11.计算装备全类型增伤，如神枪单件双件。<br/>12.计算莉莉白增伤，将伤害*1.25。<br/>13.如果为物理伤害，按以下计算:<br/>①有秦心buff，将伤害*1.3或*1.45。<br/>②有猫空buff，将伤害*1.2。<br/>③计算物理增伤（二妹技能、来瓦丁4件套效果）。<br/>④计算目标物理易伤（觉恋组合效果、楼观）。<br/>⑤计算装备物理增伤，单件和两件效果。<br/>⑥如果护甲大于0，计算穿透后的护甲（先算攻击者装备的穿透百分比 护甲*（1-穿透百分比），再减穿透值，小于0则取0），最后算护甲减伤，公式 护甲*0.04/（1+护甲*0.04），减伤上限为0.67。得出最终伤害，即伤害*（1-护甲减伤）。<br/>⑦如果护甲小于0，则增伤，系数为 2-0.96∧-护甲，最大值1.66。<br/><br/>14.如果为魔法伤害，按以下计算。<br/>①有帕秋莉buff，将伤害*1.3。<br/>②有琪露诺buff，将伤害*1.2。<br/>③计算魔法增伤（大小姐技能、八卦炉4件套效果）。<br/>④计算目标魔法易伤（苏我组合效果、破魔4件套效果）。<br/>⑤计算装备魔法增伤，单件和两件套效果。<br/>⑥计算魔抗，方法同物理。<br/><br/>15.如果为纯粹伤害，计算转转增伤。<br/>16.如果为觉，进行伤害上限处理。<br/>17.如果伤害小于0，则伤害为0。<br/>18.处理结束。"

	"td_strategy_5_left_title"  "【技巧】"
	"td_strategy_5_main_title"  "无网络单机游戏及永久暂停"
	"td_strategy_5_sub_title"  "介绍没有网络或Dota2维护期间如何进行单机游戏及永久暂停"
	"td_strategy_5_url"  ""
	"td_strategy_5_image"  ""
	"td_strategy_5_title1"  "开启Dota2控制台"
	"td_strategy_5_text1"  "在启动器界面，点“设置”，右下角“设置启动选项”，然后输入 －console <br/>或者进入游戏后点击选项，再点下方前往高级选项，左侧第一排下面勾选启用控制台。"
	"td_strategy_5_title2"  "单机游戏方法（为防止改图作弊本地图已禁用）"
	"td_strategy_5_text2"  "手机热点登录游戏，进入游戏后，按 \ 键打开控制台，复制粘贴下面的命令（手敲会报错），基本零流量：<br/>dota_launch_custom_game 1523213505 touhoutd"
	"td_strategy_5_title3"  "禁用Dota2更新方法"
	"td_strategy_5_text3"  "如果使用steam启动，设置禁用自动更新，国服在设置游戏启动选项中输入 -perfectworld <br/>如果使用国服启动器，则打开启动器后，点击“下载”-“暂停”可停止更新。<br/>然后按  win+r 打开运行，运行下面的命令后，进入游戏提示版本低关掉即可（C:\Game\Dota2为安装路径, -console前面有个空格）。<br/>C:\Game\Dota2\steamapps\common\dota 2 beta\game\bin\win64\dota2.exe –console<br/><br/>Dota2不能连接协调服务器也是一样可以玩的，即服务器维护也一样玩。"
	"td_strategy_5_title4"  "永久暂停"
	"td_strategy_5_text4"  "单机游戏，或者创建房间时输入密码，都可以永久暂停。本地图掉线或直接关闭游戏将自动永久暂停<br/><br/>截图路径：C:\Game\Dota2\steamapps\common\dota 2 beta\game\dota\screenshots<br/>截图快捷键在设置里改。<br/><br/>自定义地图路径：C:\Game\Dota2\steamapps\workshop\content\570\下，打开publish_data.txt有地图名称。"

	"td_strategy_6_left_title"  "【运营】"
	"td_strategy_6_main_title"  "新手休闲运营方法"
	"td_strategy_6_sub_title"  "介绍几套对操作要求低的运营方法"
	"td_strategy_6_url"  ""
	"td_strategy_6_image"  ""
	"td_strategy_6_title1"  "秋二鼠大妖精"
	"td_strategy_6_text1"  "卡组建议1大妖精5静叶4币3露娜2伞2觉(或其他减速)。<br/><br/>守家20 30 40波后分别是3星露娜3星小伞，4星满培露娜3星小伞，5星露娜4星满培小伞（或双4星露娜带装备，或4星露娜5星帕秋莉）。<br/><br/>开局秋瓤子，开抽两秋静叶并满培，11波前只留露娜和老鼠，其他全卖。场上妖精最小化保证守家要求即可，抽卖卖抽。11波后拔下三星瓤子换鼠（如有），减速如觉上场。 双秋满培后，R卡不买，开始抽干卡池，一二星狗粮升级只买药。25到30波第一秋一收给老鼠，28到33波第二秋一收给另一个老鼠再升个三星和二星变二星狗粮，秋二鼠成型。<br/><br/>2500开抽继续抽干卡池，秋二收后换大妖精上场，秒升级到4星，此时场上只有3收益卡 露娜小伞 减速，6个妖精位，根据阵容需要算好妖精数量如21个，17个（零头妖精要和无尽后不需要的4星卡刚好成4个），剩余妖精养到3星，此后不再上妖精，上阵容卡升级。<br/><br/>保底五星算法:露娜大妖精双鼠4个五星，21个狗粮5个，多出1个妖精加小伞，秋换后的两个阵容4星卡，刚好10个五星。"
	"td_strategy_6_title2"  "秋二鼠懒人运营"
	"td_strategy_6_text2"  "第一秋二收后不下，直接三收即可，场上一秋二鼠到底，保底7五星。"
	"td_strategy_6_title3"  "神虎娘主流运营"
	"td_strategy_6_text3"  "开局白或秋，速度升级五星给青娥，然后五星神绮，五星寅丸星，可以做到12五星左右。注意神绮关AI收大魔王，寅丸星稍靠后打钱，让怪先吃到青娥光环。"	
	"td_strategy_6_title4"  "秒升级技巧"
	"td_strategy_6_text4"  "各星级秒升级由1到10级的方法：一星用1个一星药，二星用妖精和一星药各1个或1个二星药，三星用妖精一星药二星药各一个，4星5星用博丽护身符。"

	"td_strategy_7_left_title"  "【阵容】"
	"td_strategy_7_main_title"  "三月精队"
	"td_strategy_7_sub_title"  "最低5个五星的挂机流过Extra的阵容"
	"td_strategy_7_url"  ""
	"td_strategy_7_image"  "strategy/strategy_3_png"
	"td_strategy_7_title1"  "阵容构成"
	"td_strategy_7_text1"  "5星：满培露娜，满培觉，满培斯塔，红美铃，桑尼。<br/><br/>可选5星：觉醒露米娅，满培火焰猫，满培八云紫。<br/><br/>其他：4星十六夜，3星梅蒂欣2个，1星满培慧音。<br/><br/>如果5星不足，可觉醒露米娅后用秋瓤子把她五星再换到别人。<br/><br/>装备：露娜4神枪2船勾或玉，斯塔4相机2玉，觉4桨2勾，一梅蒂欣4核棒，露米娅4狗牙。"
	"td_strategy_7_title2"  "运营方法"
	"td_strategy_7_text2"  "随意"
	"td_strategy_7_title3"  "卡组清单"
	"td_strategy_7_text3"  "SSR卡：2八云紫，4神枪，4相机。<br/><br/>SR卡：2上白泽慧音，2火焰猫，十六夜，4船勾，4核棒，4狗牙，4炸弹，博丽护身符，4其它如晕刀。<br/><br/>R卡：5秋静叶，3纳兹林，3露娜，2斯塔，桑尼，2古明地觉，2梅蒂欣，红美铃，露米娅，4玉，4月耀，4人形，4御币，4船浆。"
	"td_strategy_7_title4"  "站位图"
	"td_strategy_7_text4"  ""

	"td_strategy_8_left_title"  "【阵容】"
	"td_strategy_8_main_title"  "魔理沙队"
	"td_strategy_8_sub_title"  "最低6个五星的挂机流过Extra的阵容"
	"td_strategy_8_url"  ""
	"td_strategy_8_image"  "strategy/strategy_4_png"
	"td_strategy_8_title1"  "阵容构成"
	"td_strategy_8_text1"  "五星：满培魔理沙，随缘培大妖精，两个满培帕秋莉，满培小恶魔，满培蕾蒂。<br/><br/>可选五星：满培琪露诺，随缘培八云紫。<br/><br/>其他：三星灵梦，2个三星梅蒂欣，一星玲仙。<br/><br/>湖葬帕秋莉放琪露诺旁（必须把湖葬帕秋莉放最前面），带4核棒。水银帕秋莉带4破魔，魔理沙4相机2玉。"
	"td_strategy_8_title2"  "运营方法"
	"td_strategy_8_text2"  "神琦加能量，给魔理沙。"
	"td_strategy_8_title3"  "卡组清单"
	"td_strategy_8_text3"  "SSR卡：2个大妖精，2个八云紫，神琦，灵梦，4个相机。<br/><br/>SR卡： 3个帕秋莉，2个魔理沙，玲仙，4船勾，4核棒，4破魔，3炸弹，博丽护身符。<br/><br/>R卡：5秋静叶，4御币，3老鼠，4露娜，2琪露诺，2小恶魔，2雷帝，2梅蒂欣，4玉，4月耀，4人形，4船桨。"
	"td_strategy_8_title4"  "站位图"
	"td_strategy_8_text4"  ""

	"td_strategy_9_left_title"  "【阵容】"
	"td_strategy_9_main_title"  "幽幽子队"
	"td_strategy_9_sub_title"  "最低5个五星的挂机流过Extra的阵容"
	"td_strategy_9_url"  ""
	"td_strategy_9_image"  "strategy/strategy_5_png"
	"td_strategy_9_title1"  "阵容构成"
	"td_strategy_9_text1"  "五星：4个满培幽幽子，红美铃。<br/><br/>可选五星：八云蓝，满培八云紫。<br/><br/>其他：一星挂件妖梦和橙，三星梅蒂欣，一星玲仙或4星十六夜，一星满培慧音切白泽关ai。<br/><br/>装备：4相机、4玉、4月弩、4晕刀全部拆成两件套给幽幽子，4核棒给八云蓝。"
	"td_strategy_9_title2"  "运营方法"
	"td_strategy_9_text2"  "神琦加能量。前期减速琪露诺带4人形，后换4星八云蓝带核棒。"
	"td_strategy_9_title3"  "卡组清单"
	"td_strategy_9_text3"  "SSR卡：3八云紫，大妖精，御币，4相机。<br/><br/>SR卡：2慧音，5幽幽子，八云蓝，魂魄妖梦，玲仙或十六夜，博丽护身符，4核棒，4晕刀，3炸弹。<br/><br/>R卡：5秋静叶，4纳兹林，红美铃，橙，梅蒂欣，5露娜，2小伞，琪露诺， 4御币，4玉，4月弩，4月耀，4人形。"
	"td_strategy_9_title4"  "站位图"
	"td_strategy_9_text4"  "图中用的两梅，文文要漏，换旁边玲仙上没事"

	"td_strategy_10_left_title"  "【阵容】"
	"td_strategy_10_main_title"  "传统神灵庙队"
	"td_strategy_10_sub_title"  "最低5个五星的轻松过Extra的阵容"
	"td_strategy_10_url"  ""
	"td_strategy_10_image"  "strategy/strategy_6_png"
	"td_strategy_10_title1"  "阵容构成"
	"td_strategy_10_text1"  "五星：满培神子，满培青娥，满培减抗三人组帕秋莉小恶魔雷帝。<br/><br/>可选五星：2个满培苏我，2个满培僵尸。<br/><br/>其他：四星满培琪露诺，另一个四星苏我，一星布都。<br/><br/>装备：神子4相机2玉，青娥4船桨2船勾，帕秋莉4核棒，一个僵尸4狗牙，一个僵尸青娥技能。"
	"td_strategy_10_title2"  "运营方法"
	"td_strategy_10_text2"  "秋二鼠大妖精。"
	"td_strategy_10_title3"  "卡组清单"
	"td_strategy_10_text3"  "SSR卡：2神子，大妖精，御币，4机机，2八卦。<br/><br/>SR卡：2霍青娥，2帕秋莉，3苏我，物理布都，4狗牙，4核棒，3炸弹，2船勾，博丽护身符。<br/><br/>R卡：3 纳兹林，2雷蒂，2琪露诺，3露娜，2小恶魔，5秋静叶，3宫古芳香，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_10_title4"  "站位图"
	"td_strategy_10_text4"  "只有高波文文会漏，要备炸弹。"

	"td_strategy_11_left_title"  "【阵容】"
	"td_strategy_11_main_title"  "纯粹神灵庙队"
	"td_strategy_11_sub_title"  "7个五星的挂机流过Extra的阵容"
	"td_strategy_11_url"  ""
	"td_strategy_11_image"  "strategy/strategy_7_png"
	"td_strategy_11_title1"  "阵容构成"
	"td_strategy_11_text1"  "五星：满培神子，满培青娥，桑尼，辉夜（不卡科技），满培觉，满培紫，红美铃。<br/><br/>其它：2个四星宫古芳香，2个三星梅蒂欣，一星满培上白泽慧音。<br/><br/>装备：神子4相机2玉，青娥4船桨2船勾，桑尼4核棒，一个僵尸4狗牙，一个僵尸青娥技能。"
	"td_strategy_11_title2"  "运营方法"
	"td_strategy_11_text2"  "神绮加能量，给神子加"
	"td_strategy_11_title3"  "卡组清单"
	"td_strategy_11_text3"  "SSR卡：2神子，2八云紫，神绮，御币或大妖精，4相机。<br/><br/>SR卡：2霍青娥，2上白泽慧音，辉夜，4狗牙，4核棒，4炸弹，4船勾，博丽护身符。<br/><br/>R卡：3 纳兹林，桑尼，2古明地觉，2梅蒂欣，红美铃，3露娜，3宫古芳香，5秋静叶，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_11_title4"  "站位图"
	"td_strategy_11_text4"  "完全不怕辉夜，全程挂机。"

	"td_strategy_12_left_title"  "【阵容】"
	"td_strategy_12_main_title"  "物理妹红或布都队"
	"td_strategy_12_sub_title"  "最低8个五星的挂机流过Extra的阵容"
	"td_strategy_12_url"  ""
	"td_strategy_12_image"  "strategy/strategy_8_png"
	"td_strategy_12_title1"  "阵容构成"
	"td_strategy_12_text1"  "妹红只要攻击力和攻速，能量不需要，因为培养加攻速，可以不用再加，需要恋恋的加1000能量技能还加攻击，妹红不吃十六夜的刷新。<br/><br/>布都比妹红伤害要高且稳定，两阵容一样。<br/><br/>五星：满培腾原妹红，满培小伞关ai，满培帕秋莉，米斯蒂亚，犬走桦，上白泽慧音，满培古明地觉，古明地恋，辉夜。<br/><br/>可选五星：满培八云紫（最好五星，帕秋莉也可以四星）。<br/><br/>其他：2个三量梅蒂欣。<br/><br/>用布都时，将妹红、慧音换成布都、青娥（给攻速buff即可），布都伤害高，攻击力不需要拉满，要攻速。<br/><br/>装备：妹红4太阳伞2月兔晕刀，觉4船浆2莱瓦丁，八云紫4月耀，一个梅蒂欣4核棒，帕秋莉4楼观剑，其它随意。"
	"td_strategy_12_title2"  "运营方法"
	"td_strategy_12_text2"  "秋二鼠大妖精。"
	"td_strategy_12_title3"  "卡组清单"
	"td_strategy_12_text3"  "SSR卡：2古明地恋，大妖精，3八云紫，2御币，2莱瓦丁。（抽干即满培紫）<br/><br/>SR卡：辉夜，上白泽慧音，2帕秋莉，玲仙，2妹红，4核棒，4楼观剑，4炸弹，2月兔，博丽护身符。<br/><br/>R卡：3 纳兹林，2梅蒂欣，犬走桦，4露娜，米斯蒂娅，2多多良小伞，5秋静叶，2古明地觉，4船浆，4月耀，4人形，4御币，4太阳伞。"
	"td_strategy_12_title4"  "站位图"
	"td_strategy_12_text4"  ""

	"td_strategy_13_left_title"  "【阵容】"
	"td_strategy_13_main_title"  "纯狐妹红或布都队"
	"td_strategy_13_sub_title"  "最低6个五星的挂机流过Extra的阵容"
	"td_strategy_13_url"  ""
	"td_strategy_13_image"  "strategy/strategy_9_png"
	"td_strategy_13_title1"  "阵容构成"
	"td_strategy_13_text1"  "纯狐和其一技能buff之后，直接按技能伤害造成纯粹伤害，除辉夜二技能有效外，不吃其它任何加减伤，包括物品的爆击和特效，也无视敌人的技能减伤，因此装备只有基础属性和能量有用。<br/><br/>五星：满培腾原妹红或物部布都，米斯蒂亚，上白泽慧音，古明地恋，霍青娥，满培八云紫，满培古明地觉（可选）。<br/><br/>其他：2个三量梅蒂欣，一星2培八云紫，一星满培上白泽慧音，纯狐。<br/><br/>装备：妹红/布都4太阳伞2月兔，五星八云紫4月耀，一星慧音4狗牙切白泽关AI，一个梅蒂欣4核棒，觉4人形。<br/><br/>所有buff给妹红/布都，恋恋的能量，纯狐一技能，五星慧音人形态1技能（开AI），霍青娥的攻速。辉夜给刷个攻击力和攻速buff。"
	"td_strategy_13_title2"  "运营方法"
	"td_strategy_13_text2"  "秋二鼠转霍青娥。"
	"td_strategy_13_title3"  "卡组清单"
	"td_strategy_13_text3"  "SSR卡：纯狐，古明地恋，4八云紫，4御币。（抽干即满培和二培就够了）<br/><br/>SR卡：2妹红或物部布都，霍青娥，2辉夜，2上白泽慧音，4核棒，4狗牙，4炸弹，2月兔，博丽护身符。<br/><br/>R卡：5 纳兹林，2梅蒂欣，5露娜，米斯蒂娅，多多良小伞，5秋静叶，5古明地觉，4月耀，4人形，4御币，4太阳伞。"
	"td_strategy_13_title4"  "站位图"
	"td_strategy_13_text4"  ""

	"td_strategy_14_left_title"  "【阵容】"
	"td_strategy_14_main_title"  "风见花香队"
	"td_strategy_14_sub_title"  "最低6个五星的挂机流过Extra的阵容"
	"td_strategy_14_url"  ""
	"td_strategy_14_image"  "strategy/strategy_10_png"
	"td_strategy_14_title1"  "阵容构成"
	"td_strategy_14_text1"  "五星：满培风见花香，满培火焰猫磷，桑尼，红美铃，满培古明地觉，古明地恋。<br/><br/>可选五星：满培八云紫，觉醒露米娅（五星觉醒后和四星换）。<br/><br/>其他：四星十六夜，四星路空，三量梅蒂欣，一星满培上白泽慧音。<br/><br/>十六夜刷新路空，慧音切白泽关AI，风见花香幻像放对面觉旁边。<br/><br/>古明地恋换成三星梅蒂欣可加强对文文控制，但60波后辉夜会挤爆GG。<br/><br/>装备：风见花香4相机2玉，觉4人形2船勾，八云紫4月耀，一个梅蒂欣4核棒，火焰猫磷4船浆2船勾，露米娅2狗牙。"
	"td_strategy_14_title2"  "运营方法"
	"td_strategy_14_text2"  "秋二鼠神琦，加能量给风见花香，4星露娜和小伞守家，后增加5星辉夜或露米娅，神琦上场后，再做10个4星妖精开始上阵容。"
	"td_strategy_14_title3"  "卡组清单"
	"td_strategy_14_text3"  "SSR卡：2风见花香，2八云紫，神琦，古明地恋，4相机。<br/><br/>SR卡：辉夜，2上白泽慧音，2火焰猫磷，路空，十六夜，4核棒，2狗牙，4船勾，4炸弹，博丽护身符。<br/><br/>R卡：3 纳兹林，2梅蒂欣，4露娜，多多良小伞，5秋静叶，2古明地觉，桑尼，红美铃，露米娅，4玉，4船浆，4月耀，4人形，4御币。"
	"td_strategy_14_title4"  "站位图"
	"td_strategy_14_text4"  ""

	"td_strategy_15_left_title"  "【阵容】"
	"td_strategy_15_main_title"  "二小组队"
	"td_strategy_15_sub_title"  "最低8个五星的轻松过Extra的阵容"
	"td_strategy_15_url"  ""
	"td_strategy_15_image"  "strategy/strategy_11_png"
	"td_strategy_15_title1"  "阵容构成"
